,Tempi,Vout (RC=1),Vout (RC=0.1),Vout (RC=0.01)
298,2.98,0.47472346384927194,0.9998890999643826,-1.0000000000000446
299,2.99,0.4799500527079605,0.9998996533369119,-1.0000000000000444
300,3.0,0.4851245943767469,0.9999092022847669,-1.0000000000000444
301,3.0100000000000002,0.4703473846918796,0.8095927268562779,-1.0000000000000442
302,3.02,0.4557171837723418,0.6373872194606469,-1.000000000000044
303,3.0300000000000002,0.441232555740371,0.4815692301894011,-1.0000000000000437
304,3.04,0.42689205219871806,0.34057928051224673,-1.0000000000000435
305,3.0500000000000003,0.41269423905271435,0.21300630227791267,-1.0000000000000433
306,3.06,0.39863769650475916,0.09757349504106524,-1.0000000000000433
307,3.0700000000000003,0.38472101841798706,-0.0068744431102324005,-1.000000000000043
308,3.08,0.37094281243214533,-0.10138283448732627,-1.0000000000000429
309,3.09,0.3573017007041043,-0.18689756499854854,-1.0000000000000426
310,3.1,0.3437963192511272,-0.26427449230380945,-1.0000000000000424
311,3.11,0.33042531780144085,-0.33428803173967664,-1.0000000000000422
312,3.12,0.31718735964639544,-0.3976389017494024,-1.000000000000042
313,3.13,0.30408112149263333,-0.4549611404231074,-1.000000000000042
314,3.14,0.291105293314249,-0.506828449767287,-1.0000000000000417
315,3.15,0.27825857820495764,-0.5537599321632459,-1.0000000000000415
316,3.16,0.2655396921834717,-0.5962252917205219,-1.0000000000000413
317,3.17,0.2529473628808613,-0.634649537735348,-1.000000000000041
318,3.18,0.24048033079020503,-0.6694172336682648,-1.0000000000000409
319,3.19,0.22813734923216622,-0.7008763460641338,-1.0000000000000409
320,3.2,0.21591718379322467,-0.7293417271869348,-1.0000000000000406
321,3.21,0.2038186121710214,-0.7550982686896636,-1.0000000000000404
322,3.22,0.1918404240196947,-0.7784037515892335,-1.0000000000000402
323,3.23,0.17998142079522464,-0.7994914277880282,-1.00000000000004
324,3.24,0.16824041560076916,-0.818572339244759,-1.0000000000000397
325,3.25,0.15661623303200864,-0.8358374577747889,-1.0000000000000395
326,3.2600000000000002,0.14510770964900505,-0.8514595857647121,-1.0000000000000395
